"candidate_id","rank","score","reasoning"
"CAND_0002025","1","0.9990","HIGH semantic match (0.95). Senior AI Engineer at Apple with 5.9 yrs experience. strong in FAISS, Sentence Transformers, QLoRA; currently in AI/ML role; product-company background; high responsiveness (80%); fast response times (20.9h avg)."
"CAND_0071974","2","0.8430","HIGH semantic match (0.97). Senior AI Engineer at Netflix with 7.8 yrs experience. strong in Weaviate, BM25, Pinecone; currently in AI/ML role; product-company background; high responsiveness (76%); high market demand."
"CAND_0006567","3","0.7968","HIGH semantic match (0.86). Senior AI Engineer at Meta with 7.9 yrs experience. strong in BM25, Prompt Engineering, scikit-learn; currently in AI/ML role; product-company background; high responsiveness (79%); high market demand."
"CAND_0068351","4","0.7597","HIGH semantic match (0.78). Lead AI Engineer at Sarvam AI with 6.4 yrs experience. strong in Qdrant, Elasticsearch, PEFT; currently in AI/ML role; product-company background; high responsiveness (86%); high market demand."
"CAND_0046525","5","0.7498","HIGH semantic match (0.74). Senior Machine Learning Engineer at Genpact AI with 6.1 yrs experience. strong in Sentence Transformers, Qdrant, Elasticsearch; currently in AI/ML role; product-company background; high responsiveness (88%); fast response times (12.0h avg)."
"CAND_0046064","6","0.7473","HIGH semantic match (0.83). Senior NLP Engineer at Salesforce with 8.9 yrs experience. strong in Pinecone, BM25, PEFT; currently in AI/ML role; product-company background; high responsiveness (78%); high market demand."
"CAND_0005538","7","0.7448","HIGH semantic match (1.00). Senior AI Engineer at Adobe with 5.9 yrs experience. strong in Natural Language Processing, Deep Learning, QLoRA; currently in AI/ML role; product-company background; high responsiveness (81%); high market demand."
"CAND_0055905","8","0.7359","HIGH semantic match (0.73). Senior Machine Learning Engineer at Flipkart with 8.1 yrs experience. strong in Elasticsearch, LangChain, OpenSearch; currently in AI/ML role; product-company background; high responsiveness (87%); fast response times (11.3h avg)."
"CAND_0081846","9","0.7167","Moderate semantic match (0.65). Lead AI Engineer at Razorpay with 6.7 yrs experience. strong in Information Retrieval, Learning to Rank, Elasticsearch; currently in AI/ML role; product-company background; high responsiveness (73%); high market demand."
"CAND_0005260","10","0.7079","HIGH semantic match (0.78). Senior NLP Engineer at Netflix with 5.2 yrs experience. strong in Semantic Search, NLP, LoRA; currently in AI/ML role; product-company background; high responsiveness (86%); high market demand."
"CAND_0094759","11","0.7005","HIGH semantic match (0.87). Lead AI Engineer at Meta with 8.6 yrs experience. strong in Prompt Engineering, Semantic Search, Fine-tuning LLMs; currently in AI/ML role; product-company background; high market demand; active on GitHub (score: 76)."
"CAND_0039754","12","0.6920","HIGH semantic match (0.81). Senior Applied Scientist at Meta with 16.2 yrs experience. strong in Fine-tuning LLMs, Qdrant, NLP; currently in AI/ML role; product-company background; high responsiveness (81%); high market demand."
"CAND_0018499","13","0.6837","Moderate semantic match (0.67). Senior Machine Learning Engineer at Zomato with 7.2 yrs experience. strong in Weaviate, Recommendation Systems, Milvus; currently in AI/ML role; product-company background; high responsiveness (61%); high market demand."
"CAND_0093547","14","0.6834","HIGH semantic match (0.74). Senior Machine Learning Engineer at PhonePe with 2.9 yrs experience. strong in RAG, PEFT, Milvus; currently in AI/ML role; product-company background; high responsiveness (75%); fast response times (20.1h avg)."
"CAND_0088025","15","0.6572","Moderate semantic match (0.67). Staff Machine Learning Engineer at Yellow.ai with 8.6 yrs experience. strong in QLoRA, RAG, BM25; currently in AI/ML role; product-company background; high responsiveness (83%); high market demand."
"CAND_0030031","16","0.6558","HIGH semantic match (0.79). AI Engineer at Microsoft with 5.7 yrs experience. strong in NLP, RAG, LoRA; currently in AI/ML role; product-company background; high responsiveness (94%); high market demand."
"CAND_0007411","17","0.6450","HIGH semantic match (0.85). Senior Machine Learning Engineer at Amazon with 8.0 yrs experience. strong in OpenSearch, Prompt Engineering, BM25; currently in AI/ML role; product-company background; high market demand; active on GitHub (score: 90)."
"CAND_0093193","18","0.6376","HIGH semantic match (0.77). Senior Machine Learning Engineer at Niramai with 7.9 yrs experience. strong in Ranking Systems, OpenSearch, Qdrant; currently in AI/ML role; product-company background; high responsiveness (61%); fast response times (11.9h avg)."
"CAND_0008425","19","0.6240","HIGH semantic match (0.75). Senior NLP Engineer at Ola with 7.8 yrs experience. strong in Learning to Rank, Qdrant, Sentence Transformers; currently in AI/ML role; product-company background; high responsiveness (66%); fast response times (10.8h avg)."
"CAND_0086022","20","0.6230","Moderate semantic match (0.68). Senior Applied Scientist at Sarvam AI with 5.3 yrs experience. strong in Fine-tuning LLMs, Pinecone, Embeddings; currently in AI/ML role; product-company background; good responsiveness (55%); high market demand."
"CAND_0011687","21","0.6161","HIGH semantic match (0.78). Senior NLP Engineer at Niramai with 7.8 yrs experience. strong in OpenSearch, PEFT, Embeddings; currently in AI/ML role; product-company background; high responsiveness (89%); fast response times (7.5h avg)."
"CAND_0024620","22","0.6049","HIGH semantic match (0.86). AI Engineer at PharmEasy with 5.9 yrs experience. strong in BM25, Information Retrieval, Prompt Engineering; currently in AI/ML role; product-company background; good responsiveness (41%); fast response times (12.3h avg)."
"CAND_0033861","23","0.6029","Moderate semantic match (0.68). Senior NLP Engineer at Mad Street Den with 8.0 yrs experience. strong in Weaviate, Elasticsearch, Milvus; currently in AI/ML role; product-company background; high market demand; based in Vizag, Andhra Pradesh."
"CAND_0092278","24","0.6019","HIGH semantic match (0.78). Senior NLP Engineer at Microsoft with 6.8 yrs experience. strong in QLoRA, NLP, Elasticsearch; currently in AI/ML role; product-company background; high market demand; based in Pune, Maharashtra."
"CAND_0077337","25","0.5965","Moderate semantic match (0.45). Staff Machine Learning Engineer at Paytm with 7.0 yrs experience. strong in QLoRA, BM25, Information Retrieval; currently in AI/ML role; product-company background; high responsiveness (95%); high market demand."
"CAND_0010257","26","0.5601","HIGH semantic match (0.71). Senior Data Scientist at Google with 6.5 yrs experience. strong in Milvus, Qdrant, Recommendation Systems; currently in AI/ML role; product-company background; high responsiveness (72%); high market demand."
"CAND_0095528","27","0.5383","Moderate semantic match (0.65). Senior Data Scientist at Netflix with 5.3 yrs experience. strong in Semantic Search, Qdrant, Elasticsearch; currently in AI/ML role; product-company background; good responsiveness (55%); high market demand."
"CAND_0041611","28","0.5314","HIGH semantic match (0.72). Staff Machine Learning Engineer at Locobuzz with 6.4 yrs experience. strong in Prompt Engineering, Qdrant, NLP; currently in AI/ML role; product-company background; high market demand."
"CAND_0098952","29","0.5274","HIGH semantic match (0.78). AI Research Engineer at CRED with 5.5 yrs experience. strong in Recommendation Systems, NLP, QLoRA; currently in AI/ML role; product-company background; high responsiveness (66%); high market demand."
"CAND_0046313","30","0.5239","HIGH semantic match (0.74). Senior Software Engineer (ML) at Flipkart with 5.8 yrs experience. strong in Fine-tuning LLMs, LangChain, OpenSearch; currently in AI/ML role; product-company background; good responsiveness (45%); high market demand."
"CAND_0060072","31","0.5237","Moderate semantic match (0.62). Staff Machine Learning Engineer at Amazon with 5.7 yrs experience. strong in Sentence Transformers, Fine-tuning LLMs, BM25; currently in AI/ML role; product-company background; high market demand; active on GitHub (score: 82). concerns: low response rate (10%)."
"CAND_0005269","32","0.5130","Moderate semantic match (0.67). Senior Software Engineer (ML) at Sarvam AI with 6.1 yrs experience. strong in Elasticsearch, FAISS, Weaviate; currently in AI/ML role; product-company background; fast response times (10.6h avg); high market demand."
"CAND_0008239","33","0.5103","HIGH semantic match (0.76). AI Engineer at Apple with 4.0 yrs experience. strong in Milvus, LangChain, FAISS; currently in AI/ML role; product-company background; high responsiveness (73%); high market demand."
"CAND_0061257","34","0.4989","Moderate semantic match (0.66). Staff Machine Learning Engineer at LinkedIn with 8.0 yrs experience. strong in PEFT, Machine Learning, Feature Engineering; currently in AI/ML role; product-company background; high responsiveness (87%); high market demand."
"CAND_0064904","35","0.4898","Moderate semantic match (0.65). AI Engineer at LinkedIn with 4.9 yrs experience. strong in Embeddings, Elasticsearch, Prompt Engineering; currently in AI/ML role; product-company background; high responsiveness (78%); high market demand."
"CAND_0053472","36","0.4816","HIGH semantic match (0.77). Senior Software Engineer (ML) at HCL with 6.5 yrs experience. strong in BM25, Milvus, Qdrant; currently in AI/ML role; product-company background; high market demand; based in Noida, Uttar Pradesh. concerns: 120-day notice period."
"CAND_0071205","37","0.4813","HIGH semantic match (0.74). Senior Software Engineer (ML) at PharmEasy with 4.6 yrs experience. strong in Qdrant, Weaviate, Data Science; currently in AI/ML role; product-company background; good responsiveness (54%); high market demand."
"CAND_0008202","38","0.4790","HIGH semantic match (0.81). Senior Software Engineer (ML) at Yellow.ai with 5.7 yrs experience. strong in FAISS, PyTorch, Deep Learning; currently in AI/ML role; product-company background; good responsiveness (50%); high market demand."
"CAND_0013665","39","0.4765","Moderate semantic match (0.60). Senior Software Engineer (ML) at InMobi with 5.2 yrs experience. strong in Qdrant, QLoRA, Machine Learning; currently in AI/ML role; product-company background; high responsiveness (73%); high market demand."
"CAND_0009837","40","0.4721","HIGH semantic match (0.75). Senior Data Scientist at Rephrase.ai with 4.3 yrs experience. strong in Learning to Rank, QLoRA, FAISS; currently in AI/ML role; product-company background; good responsiveness (53%); high market demand."
"CAND_0060315","41","0.4720","HIGH semantic match (0.77). Senior Software Engineer (ML) at Glance with 5.4 yrs experience. strong in Fine-tuning LLMs, QLoRA, Learning to Rank; currently in AI/ML role; product-company background; high responsiveness (63%); high market demand."
"CAND_0033842","42","0.4669","HIGH semantic match (0.84). Senior Software Engineer (ML) at Rephrase.ai with 5.8 yrs experience. strong in PEFT, NLP, OpenSearch; currently in AI/ML role; product-company background; high market demand; based in Gurgaon, Haryana."
"CAND_0091899","43","0.4651","Moderate semantic match (0.69). Senior Software Engineer (ML) at PhonePe with 5.8 yrs experience. strong in Semantic Search, Milvus, Information Retrieval; currently in AI/ML role; product-company background; good responsiveness (51%); fast response times (11.4h avg)."
"CAND_0017090","44","0.4488","Moderate semantic match (0.57). Senior Software Engineer (ML) at Paytm with 5.5 yrs experience. strong in Weights & Biases, BentoML, Weaviate; currently in AI/ML role; product-company background; high responsiveness (71%); high market demand."
"CAND_0076412","45","0.4480","Moderate semantic match (0.66). AI Research Engineer at Wysa with 5.8 yrs experience. strong in Semantic Search, Pinecone, Machine Learning; currently in AI/ML role; product-company background; good responsiveness (54%); high market demand. concerns: 120-day notice period."
"CAND_0015578","46","0.4434","Moderate semantic match (0.68). AI Engineer at Zoho with 5.4 yrs experience. strong in Embeddings, NLP, Pinecone; currently in AI/ML role; product-company background; high responsiveness (65%); high market demand."
"CAND_0051004","47","0.4433","Moderate semantic match (0.66). Senior Data Scientist at CRED with 4.7 yrs experience. strong in Qdrant, PEFT, Fine-tuning LLMs; currently in AI/ML role; product-company background; good responsiveness (41%); fast response times (7.5h avg)."
"CAND_0058688","48","0.4284","Moderate semantic match (0.55). AI Engineer at Vedantu with 6.7 yrs experience. strong in Embeddings, Information Retrieval, Milvus; currently in AI/ML role; product-company background; high responsiveness (74%); fast response times (7.8h avg)."
"CAND_0020350","49","0.4198","Moderate semantic match (0.67). AI Engineer at Zoho with 5.8 yrs experience. strong in NLP, LoRA, PEFT; currently in AI/ML role; product-company background; good responsiveness (58%); high market demand."
"CAND_0099806","50","0.4052","Moderate semantic match (0.69). AI Engineer at Mad Street Den with 4.6 yrs experience. strong in LoRA, Prompt Engineering, FAISS; currently in AI/ML role; product-company background; high responsiveness (76%); high market demand."
"CAND_0093530","51","0.4044","Moderate semantic match (0.64). Senior Software Engineer (ML) at Vedantu with 3.2 yrs experience. strong in NLP, Sentence Transformers, FAISS; currently in AI/ML role; product-company background; high responsiveness (77%); high market demand."
"CAND_0068410","52","0.3979","Moderate semantic match (0.68). Senior Software Engineer (ML) at Unacademy with 5.8 yrs experience. strong in BM25, Semantic Search, Qdrant; currently in AI/ML role; product-company background; good responsiveness (42%); high market demand."
"CAND_0089726","53","0.3969","Moderate semantic match (0.65). Junior ML Engineer at Genpact AI with 3.1 yrs experience. strong in Sentence Transformers, Pinecone, MLflow; currently in AI/ML role; product-company background; high responsiveness (60%); fast response times (4.1h avg)."
"CAND_0047721","54","0.3965","Moderate semantic match (0.58). Senior Data Scientist at Microsoft with 7.0 yrs experience. strong in Learning to Rank, BM25, Information Retrieval; currently in AI/ML role; product-company background; good responsiveness (49%); high market demand."
"CAND_0010541","55","0.3930","Moderate semantic match (0.65). AI Research Engineer at Wysa with 6.2 yrs experience. strong in Pinecone, Weaviate, BM25; currently in AI/ML role; product-company background; good responsiveness (59%); high market demand."
"CAND_0047542","56","0.3922","Moderate semantic match (0.70). Senior Software Engineer (ML) at Meesho with 5.0 yrs experience. strong in Learning to Rank, Weaviate, Sentence Transformers; currently in AI/ML role; product-company background; high responsiveness (75%); high market demand."
"CAND_0091254","57","0.3881","Moderate semantic match (0.61). AI Research Engineer at Zoho with 5.2 yrs experience. strong in Elasticsearch, PEFT, scikit-learn; currently in AI/ML role; product-company background; good responsiveness (53%); high market demand."
"CAND_0082973","58","0.3864","HIGH semantic match (0.73). AI Specialist at Genpact AI with 6.4 yrs experience. strong in Prompt Engineering, OpenSearch, Elasticsearch; currently in AI/ML role; product-company background; good responsiveness (54%); high market demand."
"CAND_0080766","59","0.3820","Moderate semantic match (0.59). Staff Machine Learning Engineer at Salesforce with 8.8 yrs experience. strong in LoRA, QLoRA, Elasticsearch; currently in AI/ML role; product-company background; high responsiveness (66%); high market demand."
"CAND_0030468","60","0.3807","Moderate semantic match (0.49). Senior Applied Scientist at Swiggy with 5.4 yrs experience. strong in Ranking Systems, OpenSearch, Milvus; currently in AI/ML role; product-company background; high responsiveness (78%); fast response times (4.7h avg)."
"CAND_0005311","61","0.3705","HIGH semantic match (0.71). AI Research Engineer at Aganitha with 5.7 yrs experience. strong in LoRA, Prompt Engineering, QLoRA; currently in AI/ML role; product-company background; high market demand; active on GitHub (score: 70)."
"CAND_0007460","62","0.3623","HIGH semantic match (0.82). AI Engineer at Salesforce with 4.7 yrs experience. strong in LangChain, PEFT, Weaviate; currently in AI/ML role; product-company background; good responsiveness (48%); high market demand. concerns: 120-day notice period."
"CAND_0087630","63","0.3620","Moderate semantic match (0.56). AI Engineer at Vedantu with 7.2 yrs experience. strong in NLP, QLoRA, Sentence Transformers; currently in AI/ML role; product-company background; good responsiveness (45%); fast response times (6.9h avg)."
"CAND_0013111","64","0.3563","HIGH semantic match (0.84). AI Research Engineer at Saarthi.ai with 4.2 yrs experience. strong in RAG, Statistical Modeling, Data Science; currently in AI/ML role; product-company background; high responsiveness (70%); fast response times (12.8h avg)."
"CAND_0067091","65","0.3530","HIGH semantic match (0.82). Senior Software Engineer (ML) at Saarthi.ai with 4.8 yrs experience. strong in FAISS, Pinecone, QLoRA; currently in AI/ML role; product-company background; good responsiveness (55%); high market demand."
"CAND_0077498","66","0.3512","Moderate semantic match (0.62). Senior Software Engineer (ML) at Niramai with 5.4 yrs experience. strong in BM25, Data Science, MLflow; currently in AI/ML role; product-company background; high responsiveness (89%); fast response times (3.0h avg)."
"CAND_0004402","67","0.3390","HIGH semantic match (0.70). AI Research Engineer at Yellow.ai with 6.0 yrs experience. strong in PEFT, Learning to Rank, PyTorch; currently in AI/ML role; product-company background; high responsiveness (83%); fast response times (3.9h avg)."
"CAND_0020991","68","0.3358","Moderate semantic match (0.58). Junior ML Engineer at PhonePe with 4.9 yrs experience. strong in QLoRA, LoRA, Weaviate; currently in AI/ML role; product-company background; high responsiveness (88%); fast response times (4.2h avg). concerns: 120-day notice period."
"CAND_0089498","69","0.3288","Moderate semantic match (0.54). AI Specialist at Genpact AI with 5.8 yrs experience. strong in RAG, Weaviate, PyTorch; currently in AI/ML role; product-company background; good responsiveness (40%); high market demand."
"CAND_0002344","70","0.3242","Moderate semantic match (0.55). Senior Software Engineer (ML) at upGrad with 4.7 yrs experience. strong in TensorFlow, Feature Engineering, NLP; currently in AI/ML role; product-company background; high responsiveness (83%); high market demand. concerns: 120-day notice period."
"CAND_0050876","71","0.3114","Moderate semantic match (0.66). Applied ML Engineer at Freshworks with 6.0 yrs experience. strong in OpenSearch, QLoRA, Sentence Transformers; currently in AI/ML role; product-company background; high responsiveness (67%); active on GitHub (score: 86)."
"CAND_0043637","72","0.3083","HIGH semantic match (0.73). Junior ML Engineer at Rephrase.ai with 5.5 yrs experience. strong in Milvus, Learning to Rank, PyTorch; currently in AI/ML role; product-company background; high responsiveness (92%); fast response times (2.8h avg)."
"CAND_0040200","73","0.3065","Moderate semantic match (0.67). AI Research Engineer at PharmEasy with 5.5 yrs experience. strong in Weaviate, Milvus, FAISS; currently in AI/ML role; product-company background; good responsiveness (52%); based in Pune, Maharashtra."
"CAND_0084460","74","0.2922","Moderate semantic match (0.64). Senior Software Engineer (ML) at upGrad with 5.6 yrs experience. strong in Semantic Search, MLflow, Milvus; currently in AI/ML role; product-company background; good responsiveness (45%); high market demand."
"CAND_0006821","75","0.2899","HIGH semantic match (0.75). Senior Software Engineer (ML) at Unacademy with 5.0 yrs experience. strong in RAG, FAISS, MLflow; currently in AI/ML role; product-company background; high market demand; based in Kolkata, West Bengal."
"CAND_0015528","76","0.2884","Moderate semantic match (0.56). Applied ML Engineer at Krutrim with 7.4 yrs experience. strong in Weaviate, LangChain, Information Retrieval; currently in AI/ML role; product-company background; good responsiveness (53%); high market demand."
"CAND_0070525","77","0.2840","Moderate semantic match (0.57). Senior Software Engineer (ML) at Mad Street Den with 5.4 yrs experience. strong in Recommendation Systems, Statistical Modeling, Prompt Engineering; currently in AI/ML role; product-company background; high responsiveness (93%); fast response times (5.6h avg)."
"CAND_0035879","78","0.2839","Moderate semantic match (0.59). AI Research Engineer at Krutrim with 4.5 yrs experience. strong in Statistical Modeling, Pinecone, Elasticsearch; currently in AI/ML role; product-company background; high responsiveness (82%); fast response times (9.5h avg). concerns: 120-day notice period."
"CAND_0070653","79","0.2830","HIGH semantic match (0.71). AI Specialist at Dream11 with 5.0 yrs experience. strong in Sentence Transformers, PyTorch, Data Science; currently in AI/ML role; product-company background; high market demand; based in Delhi, Delhi."
"CAND_0052682","80","0.2814","Moderate semantic match (0.61). NLP Engineer at Aganitha with 6.6 yrs experience. strong in QLoRA, Semantic Search, FAISS; currently in AI/ML role; product-company background; high responsiveness (88%); high market demand."
"CAND_0017590","81","0.2757","Moderate semantic match (0.70). AI Research Engineer at Genpact AI with 5.1 yrs experience. strong in FAISS, Sentence Transformers, NLP; currently in AI/ML role; product-company background; good responsiveness (56%); high market demand."
"CAND_0099401","82","0.2751","Moderate semantic match (0.64). NLP Engineer at Dream11 with 7.7 yrs experience. strong in Embeddings, Qdrant, Information Retrieval; currently in AI/ML role; product-company background; good responsiveness (42%); high market demand."
"CAND_0033987","83","0.2739","Moderate semantic match (0.54). ML Engineer at Wysa with 6.8 yrs experience. strong in Recommendation Systems, PEFT, Fine-tuning LLMs; currently in AI/ML role; product-company background; high responsiveness (71%); fast response times (5.6h avg)."
"CAND_0052744","84","0.2735","Moderate semantic match (0.69). Senior Software Engineer (ML) at Niramai with 4.9 yrs experience. strong in Sentence Transformers, MLflow, Weaviate; currently in AI/ML role; product-company background; high responsiveness (79%); fast response times (2.3h avg)."
"CAND_0089947","85","0.2695","Moderate semantic match (0.61). Junior ML Engineer at Saarthi.ai with 5.4 yrs experience. strong in Elasticsearch, Information Retrieval, PEFT; currently in AI/ML role; product-company background; good responsiveness (59%); high market demand."
"CAND_0080315","86","0.2691","Moderate semantic match (0.65). AI Research Engineer at Sarvam AI with 4.1 yrs experience. strong in LangChain, Prompt Engineering, PEFT; currently in AI/ML role; product-company background; high market demand; based in Ahmedabad, Gujarat."
"CAND_0042100","87","0.2504","Moderate semantic match (0.59). Machine Learning Engineer at Freshworks with 7.3 yrs experience. strong in Elasticsearch, Learning to Rank, Recommendation Systems; currently in AI/ML role; product-company background; high responsiveness (87%); fast response times (16.2h avg)."
"CAND_0032527","88","0.2460","Moderate semantic match (0.59). Junior ML Engineer at Flipkart with 3.9 yrs experience. strong in LangChain, Milvus, Deep Learning; currently in AI/ML role; product-company background; high responsiveness (81%); high market demand."
"CAND_0051759","89","0.2443","Moderate semantic match (0.63). AI Specialist at Glance with 6.3 yrs experience. strong in scikit-learn, Weights & Biases, Semantic Search; currently in AI/ML role; product-company background; high responsiveness (70%); high market demand. concerns: 120-day notice period."
"CAND_0040506","90","0.2409","HIGH semantic match (0.72). AI Research Engineer at Glance with 3.9 yrs experience. strong in OpenSearch, Sentence Transformers, Elasticsearch; currently in AI/ML role; product-company background; good responsiveness (43%); high market demand."
"CAND_0006418","91","0.2400","Moderate semantic match (0.55). Machine Learning Engineer at Verloop.io with 5.7 yrs experience. strong in Semantic Search, Embeddings, Weaviate; currently in AI/ML role; product-company background; high responsiveness (92%); high market demand."
"CAND_0059017","92","0.2385","Moderate semantic match (0.61). AI Research Engineer at PhonePe with 6.8 yrs experience. strong in Sentence Transformers, FAISS, TensorFlow; currently in AI/ML role; product-company background; high responsiveness (75%); high market demand."
"CAND_0079688","93","0.2233","Moderate semantic match (0.64). Senior Software Engineer (ML) at Aganitha with 3.3 yrs experience. strong in Qdrant, Semantic Search, Recommendation Systems; currently in AI/ML role; product-company background; high responsiveness (69%); high market demand. concerns: 120-day notice period."
"CAND_0047907","94","0.2228","HIGH semantic match (0.71). AI Research Engineer at Vedantu with 6.6 yrs experience. strong in Fine-tuning LLMs, BentoML, OpenSearch; currently in AI/ML role; product-company background; good responsiveness (48%); high market demand."
"CAND_0033303","95","0.2225","Moderate semantic match (0.66). AI Specialist at Aganitha with 4.4 yrs experience. strong in Learning to Rank, RAG, MLflow; currently in AI/ML role; product-company background; good responsiveness (57%); fast response times (11.7h avg)."
"CAND_0046095","96","0.2179","Moderate semantic match (0.52). ML Engineer at Rephrase.ai with 3.9 yrs experience. strong in PEFT, RAG, Elasticsearch; currently in AI/ML role; product-company background; good responsiveness (46%); fast response times (22.4h avg)."
"CAND_0030946","97","0.2158","Moderate semantic match (0.69). Junior ML Engineer at Yellow.ai with 6.7 yrs experience. strong in Embeddings, BM25, Learning to Rank; currently in AI/ML role; product-company background; high market demand; based in Mumbai, Maharashtra."
"CAND_0074123","98","0.2127","Moderate semantic match (0.56). Data Scientist at CRED with 6.9 yrs experience. strong in NLP, Deep Learning, Prompt Engineering; currently in AI/ML role; product-company background; high market demand; based in Bhubaneswar, Odisha."
"CAND_0073007","99","0.2077","Moderate semantic match (0.66). AI Specialist at Aganitha with 5.8 yrs experience. strong in Embeddings, FAISS, Statistical Modeling; currently in AI/ML role; product-company background; high responsiveness (83%); fast response times (19.5h avg)."
"CAND_0075439","100","0.2000","Moderate semantic match (0.52). Machine Learning Engineer at Flipkart with 4.3 yrs experience. strong in Learning to Rank, Elasticsearch, LoRA; currently in AI/ML role; product-company background; good responsiveness (56%); high market demand."
